Čas zahájení,Čas ukončení,Počet kroků,Muž,Žena,Výška,
00:00:00.000Z,00:15:00.000Z,7,1,0,180,
00:15:00.000Z,00:30:00.000Z,7,,,,
00:30:00.000Z,00:45:00.000Z,7,,,,
00:45:00.000Z,01:00:00.000Z,7,,,,
01:00:00.000Z,01:15:00.000Z,7,,,,
01:15:00.000Z,01:30:00.000Z,7,,,,
01:30:00.000Z,01:45:00.000Z,7,,,,
01:45:00.000Z,02:00:00.000Z,7,,,,
02:00:00.000Z,02:15:00.000Z,7,,,,
02:15:00.000Z,02:30:00.000Z,7,,,,
02:30:00.000Z,02:45:00.000Z,7,,,,
02:45:00.000Z,03:00:00.000Z,7,,,,
03:00:00.000Z,03:15:00.000Z,7,,,,
03:15:00.000Z,03:30:00.000Z,7,,,,
03:30:00.000Z,03:45:00.000Z,7,,,,
03:45:00.000Z,04:00:00.000Z,7,,,,
04:00:00.000Z,04:15:00.000Z,7,,,,
04:15:00.000Z,04:30:00.000Z,7,,,,
04:30:00.000Z,04:45:00.000Z,7,,,,
04:45:00.000Z,05:00:00.000Z,7,,,,
05:00:00.000Z,05:15:00.000Z,7,,,,
05:15:00.000Z,05:30:00.000Z,7,,,,
05:30:00.000Z,05:45:00.000Z,7,,,,
05:45:00.000Z,06:00:00.000Z,7,,,,
06:00:00.000Z,06:15:00.000Z,7,,,,
06:15:00.000Z,06:30:00.000Z,7,,,,
06:30:00.000Z,06:45:00.000Z,73,,,,
06:45:00.000Z,07:00:00.000Z,94,,,,
07:00:00.000Z,07:15:00.000Z,28,,,,
07:15:00.000Z,07:30:00.000Z,246,,,,
07:30:00.000Z,07:45:00.000Z,18,,,,
07:45:00.000Z,08:00:00.000Z,2,,,,
08:00:00.000Z,08:15:00.000Z,2,,,,
08:15:00.000Z,08:30:00.000Z,2,,,,
08:30:00.000Z,08:45:00.000Z,528,,,,
08:45:00.000Z,09:00:00.000Z,441,,,,
09:00:00.000Z,09:15:00.000Z,567,,,,
09:15:00.000Z,09:30:00.000Z,464,,,,
09:30:00.000Z,09:45:00.000Z,775,,,,
09:45:00.000Z,10:00:00.000Z,10,,,,
10:00:00.000Z,10:15:00.000Z,704,,,,
10:15:00.000Z,10:30:00.000Z,792,,,,
10:30:00.000Z,10:45:00.000Z,677,,,,
10:45:00.000Z,11:00:00.000Z,962,,,,
11:00:00.000Z,11:15:00.000Z,0,,,,
11:15:00.000Z,11:30:00.000Z,196,,,,
11:30:00.000Z,11:45:00.000Z,1287,,,,
11:45:00.000Z,12:00:00.000Z,1722,,,,
12:00:00.000Z,12:15:00.000Z,0,,,,
12:15:00.000Z,12:30:00.000Z,0,,,,
12:30:00.000Z,12:45:00.000Z,0,,,,
12:45:00.000Z,13:00:00.000Z,0,,,,
13:00:00.000Z,13:15:00.000Z,0,,,,
13:15:00.000Z,13:30:00.000Z,0,,,,
13:30:00.000Z,13:45:00.000Z,0,,,,
13:45:00.000Z,14:00:00.000Z,0,,,,
14:00:00.000Z,14:15:00.000Z,748,,,,
14:15:00.000Z,14:30:00.000Z,207,,,,
14:30:00.000Z,14:45:00.000Z,1044,,,,
14:45:00.000Z,15:00:00.000Z,976,,,,
15:00:00.000Z,15:15:00.000Z,302,,,,
15:15:00.000Z,15:30:00.000Z,919,,,,
15:30:00.000Z,15:45:00.000Z,739,,,,
15:45:00.000Z,16:00:00.000Z,520,,,,
16:00:00.000Z,16:15:00.000Z,122,,,,
16:15:00.000Z,16:30:00.000Z,18,,,,
16:30:00.000Z,16:45:00.000Z,18,,,,
16:45:00.000Z,17:00:00.000Z,18,,,,
17:00:00.000Z,17:15:00.000Z,18,,,,
17:15:00.000Z,17:30:00.000Z,18,,,,
17:30:00.000Z,17:45:00.000Z,18,,,,
17:45:00.000Z,18:00:00.000Z,18,,,,
18:00:00.000Z,18:15:00.000Z,18,,,,
18:15:00.000Z,18:30:00.000Z,18,,,,
18:30:00.000Z,18:45:00.000Z,18,,,,
18:45:00.000Z,19:00:00.000Z,18,,,,
19:00:00.000Z,19:15:00.000Z,18,,,,
19:15:00.000Z,19:30:00.000Z,18,,,,
19:30:00.000Z,19:45:00.000Z,18,,,,
19:45:00.000Z,20:00:00.000Z,18,,,,
20:00:00.000Z,20:15:00.000Z,7,,,,
20:15:00.000Z,20:30:00.000Z,0,,,,
20:30:00.000Z,20:45:00.000Z,0,,,,
20:45:00.000Z,21:00:00.000Z,0,,,,
21:00:00.000Z,21:15:00.000Z,0,,,,
21:15:00.000Z,21:30:00.000Z,0,,,,
21:30:00.000Z,21:45:00.000Z,0,,,,
21:45:00.000Z,22:00:00.000Z,0,,,,
22:00:00.000Z,22:15:00.000Z,0,,,,
22:15:00.000Z,22:30:00.000Z,0,,,,
22:30:00.000Z,22:45:00.000Z,0,,,,
22:45:00.000Z,23:00:00.000Z,0,,,,
23:00:00.000Z,23:15:00.000Z,0,,,,
23:15:00.000Z,23:30:00.000Z,0,,,,
23:30:00.000Z,23:45:00.000Z,0,,,,
23:45:00.000Z,00:00:00.000Z,0,,,,
